Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,AFG,15.635,15.698,15.715,15.726,15.796,15.634,15.479,15.363,15.286,15.224,15.346,15.514,15.695,15.869,16.035,15.841,15.655,15.506,15.426,15.44,15.769,16.186,17.118,18.088,19.096,20.141,21.227,19.836,18.402,16.463,14.787,5.153,4.828
Angola,AGO,75.489,75.481,75.485,75.499,75.52,75.515,75.522,75.54,75.566,75.598,75.602,75.614,75.63,75.648,75.663,75.648,75.638,75.63,75.625,75.625,74.87,74.638,74.405,74.171,73.936,73.7,73.462,73.224,72.985,73.047,74.694,72.843,72.76
Albania,ALB,53.13,53.737,52.962,52.316,51.374,50.76,51.553,50.943,50.132,49.701,49.201,48.945,48.332,47.726,47.131,46.548,45.978,45.421,45.847,46.735,52.468,48.821,43.66,43.818,46.989,49.763,49.609,51.284,52.815,50.089,51.788,52.919,52.824
Argentina,ARG,46.494,47.634,48.844,49.664,48.938,49.718,50.951,51.462,50.666,50.359,49.389,47.156,48.535,49.954,49.094,49.735,48.899,48.063,48.788,47.693,47.949,48.056,47.65,47.429,47.512,47.598,47.685,49.165,50.02,46.506,50.283,50.366,50.84
Armenia,ARM,58.428,58.15,57.687,57.243,56.879,56.615,56.406,56.237,56.077,55.876,55.595,55.243,54.885,54.585,54.348,54.199,54.2,54.207,54.941,55.179,55.298,55.338,55.447,55.548,55.651,55.719,55.772,55.765,57.625,57.689,58.156,56.491,56.001
Australia,AUS,51.957,51.921,51.688,52.589,53.588,53.78,53.571,53.628,53.619,54.504,55.049,55.255,55.926,55.691,56.977,57.539,58.09,58.545,58.76,58.626,58.875,58.779,58.696,58.664,59.108,59.343,59.848,60.505,60.957,60.192,61.216,61.332,61.518
Austria,AUT,43.538,44.845,45.301,48.636,49.391,48.832,48.728,49.343,49.514,49.406,49.36,50.605,50.783,50.639,51.458,52.145,52.99,53.507,54.189,54.285,54.617,55.114,55.379,55.422,55.466,56.016,56.016,56.059,56.15,55.902,56.099,56.555,56.748
Azerbaijan,AZE,66.348,67.928,69.96,72.072,73.58,73.785,73.627,73.177,72.88,72.135,70.195,68.729,66.541,64.093,62.824,61.004,56.248,56.243,57.967,59.72,58.194,59.144,59.29,60.139,60.96,62.027,62.419,62.988,65.714,64.728,65.648,67.149,67.404
Burundi,BDI,89.974,89.463,88.797,88.117,87.52,86.751,85.892,85.01,84.21,83.364,82.485,81.556,80.564,79.508,78.337,77.036,77.654,78.199,78.754,79.256,79.626,79.951,80.242,80.472,80.502,80.44,80.291,80.081,79.723,78.596,79.139,78.769,78.782
Belgium,BEL,37.97,38.875,39.559,40.169,40.541,40.561,41.005,41.662,43.167,43.643,41.864,42.571,42.951,44.25,45.691,45.815,46.534,46.912,46.947,47.713,47.034,47.1,47.766,48.077,48.004,47.77,48.737,49.533,49.841,49.336,50.042,50.829,50.551
Benin,BEN,56.972,56.975,57.708,58.464,59.245,60.039,60.85,61.685,62.546,63.433,64.348,65.292,65.756,66.223,66.697,67.173,67.647,68.126,68.608,69.094,69.583,67.819,66.004,64.14,62.232,60.283,58.299,56.283,56.323,55.784,54.796,56.392,56.725
Burkina Faso,BFA,79.368,78.361,77.319,76.241,75.128,73.982,72.801,71.578,70.313,69.014,67.68,66.311,64.911,63.481,62.026,60.55,60.111,59.698,59.307,58.937,58.587,58.258,57.954,57.675,57.69,57.704,57.72,57.741,57.768,57.215,57.795,57.777,57.59
Bangladesh,BGD,25.729,25.897,26.108,26.35,26.619,26.85,27.111,27.393,27.676,27.951,28.153,28.367,28.583,28.794,29.005,29.131,29.541,29.962,30.384,30.789,31.191,31.595,32.007,32.424,32.847,33.271,36.449,36.703,36.906,36.565,37.868,37.045,37.006
Bulgaria,BGR,53.633,53.855,52.711,51.565,50.417,49.267,48.115,46.965,45.815,44.666,46.457,46.063,44.799,45.465,44.422,46.36,47.476,48.333,47.521,47.794,47.224,47.849,48.577,48.63,48.573,47.666,49.518,49.218,50.276,49.188,49.034,50.598,50.109
Bahrain,BHR,28.984,29.606,30.22,30.842,31.476,32.126,32.794,33.494,34.244,35.045,35.895,36.728,37.536,38.256,38.975,39.769,40.642,41.594,42.626,43.601,42.582,42.818,42.986,42.994,43.029,43.222,43.54,44.067,44.354,43.484,43.672,43.853,44.135
"Bahamas, The",BHS,65.161,65.693,66.217,66.685,67.077,67.417,68.103,67.458,68.695,68.998,69.151,69.269,68.886,68.701,68.81,68.86,68.751,68.22,67.491,67.407,67.295,67.458,66.965,66.887,66.702,66.671,66.801,66.902,66.802,62.057,64.288,65.083,65.346
Bosnia and Herzegovina,BIH,31.691,31.296,30.714,30.19,29.804,29.761,29.713,29.686,29.657,29.581,29.53,29.914,30.255,30.528,30.797,31.086,31.077,32.443,32.862,34.04,34.024,34.106,33.994,35.506,35.433,34.845,35.409,34.894,36.947,36.009,39.63,40.302,40.53
Belarus,BLR,53.179,52.979,52.795,52.773,52.848,52.7,52.511,52.541,52.742,53.465,54.047,54.503,54.861,55.165,55.515,55.908,56.354,56.831,57.296,57.735,58.166,58.533,58.825,59.079,59.304,59.501,59.436,59.024,59.331,59.067,59.427,59.463,59.244
Belize,BLZ,33.099,34.004,34.41,34.244,35.581,36.937,38.318,39.236,39.288,39.802,40.313,40.825,41.343,41.865,42.386,42.909,43.434,43.96,44.488,45.001,45.499,45.999,46.499,47.393,48.255,49.117,48.71,48.911,48.962,47.333,48.357,49.749,50.172
Bolivia,BOL,57.473,57.407,57.764,58.181,58.607,58.978,59.451,60.133,60.812,58.77,59.031,59.299,59.57,59.843,60.117,63.382,60.887,61.998,62.592,62.229,61.865,57.652,58.78,61.172,54.61,56.949,59.139,63.586,60.736,59.337,57.599,58.574,59.95
Brazil,BRA,43.794,44.746,45.708,46.679,47.661,46.428,47.487,48.223,49.522,50.669,51.819,53.361,53.483,54.405,55.594,55.301,55.08,54.705,55.187,53.679,52.162,52.394,52.363,52.299,52.959,53.207,54.083,54.368,55.136,50.186,52.309,53.689,53.133
Barbados,BRB,59.69,59.356,60.206,61.049,62.582,61.339,62.402,62.036,61.563,62.688,63.801,62.83,63.933,64.476,64.497,62.784,61.973,62.537,62.714,62.888,63.058,61.077,62.022,60.445,60.847,61.913,60.543,59.508,59.064,57.585,58.324,58.427,58.503
Brunei Darussalam,BRN,46.23,47.217,48.208,49.193,50.17,51.143,52.113,53.078,54.036,54.988,55.931,55.969,56.007,56.046,56.086,56.128,56.17,56.216,56.263,56.31,56.356,56.33,56.311,56.3,56.297,56.302,56.316,57.381,54.966,54.557,55.056,55.149,55.425
Bhutan,BTN,57.336,57.268,57.224,57.18,57.132,57.543,58.057,58.643,59.253,59.891,60.655,61.477,62.326,63.155,63.948,64.396,64.836,65.256,65.655,63.367,62.38,63.088,58.263,54.019,55.063,54.979,54.899,54.824,60.69,63.06,64.95,64.93,64.546
Botswana,BWA,46.625,46.707,46.778,46.863,46.968,47.059,47.171,47.3,47.858,48.436,49.087,49.74,50.396,51.052,51.71,52.367,53.428,54.487,55.543,52.652,53.319,53.987,54.654,55.32,55.983,56.642,57.298,57.95,58.6,56.981,59.263,59.906,59.879
Canada,CAN,58.42,57.834,57.66,57.518,57.475,57.462,57.787,58.388,58.914,59.4,59.756,60.911,61.894,61.991,61.659,61.883,62.505,62.551,62.426,62.407,62.161,62.121,62.171,61.547,61.213,61.274,61.476,61.292,61.437,59.509,60.622,60.947,61.14
Switzerland,CHE,51.965,52.236,52.876,52.175,52.15,56.951,56.915,58.147,58.161,57.627,58.822,59.295,59.458,59.1,59.336,59.752,59.924,61.291,61.555,59.979,60.537,60.83,61.14,61.9,62.282,62.832,62.599,62.898,62.972,62.506,62.226,61.483,61.284
Channel Islands,CHI,45.78,46.054,45.823,45.828,46.31,47.257,47.923,48.332,49.137,49.204,50.449,52.319,53.072,53.066,52.509,51.872,51.094,51.66,52.672,52.597,51.245,51.476,51.496,51.485,51.553,51.751,51.733,51.681,51.759,50.973,51.219,50.9,50.888
