iso3,country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AFG,Afghanistan,0.489,0.453,0.452,0.444,0.446,0.673,0.662,0.645,0.63,0.307,0.292,0.243,0.26,0.275,0.271,0.263,0.256,0.259,0.69,0.696,0.707,0.718,0.734,0.712,0.692,0.692,0.688,0.681,0.678,0.676,0.674,0.653,0.665
ALB,Albania,0.489,0.453,0.452,0.444,0.446,0.673,0.662,0.645,0.63,0.307,0.292,0.243,0.26,0.275,0.271,0.263,0.256,0.259,0.244,0.191,0.192,0.194,0.196,0.191,0.186,0.178,0.161,0.145,0.139,0.131,0.129,0.117,0.116
DZA,Algeria,0.489,0.453,0.452,0.444,0.446,0.673,0.662,0.645,0.63,0.627,0.614,0.601,0.57,0.566,0.561,0.56,0.552,0.533,0.523,0.516,0.517,0.508,0.425,0.422,0.417,0.409,0.407,0.417,0.405,0.397,0.396,0.457,0.46
AGO,Angola,0.489,0.453,0.452,0.444,0.446,0.559,0.546,0.5375,0.528,0.5245,0.5205,0.512,0.4835,0.4815,0.47600000000000003,0.468,0.4635,0.4545,0.4475,0.4435,0.554,0.546,0.548,0.549,0.553,0.548,0.543,0.547,0.537,0.533,0.529,0.529,0.52
ARG,Argentina,0.489,0.453,0.452,0.444,0.446,0.445,0.43,0.43,0.426,0.422,0.427,0.423,0.397,0.397,0.391,0.376,0.375,0.376,0.372,0.371,0.372,0.366,0.358,0.356,0.349,0.34,0.337,0.325,0.303,0.291,0.303,0.296,0.292
ARM,Armenia,0.33699999999999997,0.3185,0.318,0.3125,0.3125,0.467,0.461,0.444,0.435,0.472,0.451,0.446,0.447,0.413,0.404,0.394,0.389,0.348,0.338,0.342,0.346,0.342,0.325,0.31,0.314,0.299,0.295,0.254,0.24,0.219,0.223,0.202,0.198
AUS,Australia,0.185,0.184,0.184,0.181,0.179,0.176,0.174,0.172,0.169,0.156,0.151,0.15,0.144,0.14,0.136,0.135,0.134,0.134,0.138,0.135,0.136,0.131,0.13,0.123,0.117,0.111,0.101,0.096,0.092,0.08,0.074,0.073,0.063
AUT,Austria,0.202,0.202,0.201,0.195,0.18,0.17,0.163,0.155,0.151,0.147,0.149,0.146,0.145,0.131,0.126,0.121,0.118,0.114,0.121,0.112,0.11,0.103,0.097,0.086,0.082,0.084,0.082,0.072,0.061,0.053,0.052,0.052,0.048
AZE,Azerbaijan,0.29400000000000004,0.2935,0.2985,0.416,0.417,0.405,0.403,0.397,0.393,0.386,0.367,0.37,0.368,0.366,0.362,0.352,0.354,0.353,0.354,0.357,0.342,0.341,0.341,0.343,0.347,0.342,0.328,0.314,0.312,0.317,0.333,0.327,0.329
BHS,Bahamas,0.386,0.385,0.396,0.4,0.389,0.386,0.387,0.382,0.369,0.377,0.367,0.37,0.369,0.37,0.356,0.358,0.35,0.364,0.367,0.385,0.369,0.382,0.392,0.359,0.382,0.366,0.356,0.333,0.332,0.335,0.331,0.335,0.333
BHR,Bahrain,0.5425,0.54,0.5425,0.5435000000000001,0.537,0.534,0.534,0.5255000000000001,0.5135000000000001,0.5125,0.5065,0.5125,0.548,0.358,0.355,0.358,0.291,0.268,0.264,0.264,0.259,0.246,0.242,0.239,0.231,0.241,0.236,0.236,0.203,0.194,0.197,0.192,0.181
BGD,Bangladesh,0.699,0.695,0.689,0.687,0.685,0.682,0.681,0.669,0.658,0.648,0.646,0.655,0.727,0.744,0.738,0.652,0.643,0.643,0.672,0.613,0.602,0.595,0.581,0.576,0.567,0.559,0.554,0.538,0.531,0.521,0.502,0.5,0.498
BRB,Barbados,0.377,0.379,0.383,0.368,0.365,0.362,0.364,0.366,0.365,0.353,0.358,0.36,0.353,0.355,0.347,0.344,0.34,0.336,0.373,0.35,0.35,0.348,0.346,0.335,0.33,0.334,0.332,0.333,0.315,0.309,0.296,0.296,0.289
BLR,Belarus,0.27849999999999997,0.279,0.279,0.268,0.2635,0.2605,0.262,0.262,0.261,0.241,0.246,0.257,0.226,0.208,0.157,0.155,0.149,0.15,0.145,0.158,0.148,0.145,0.15,0.146,0.137,0.126,0.117,0.107,0.101,0.098,0.1,0.099,0.096
BEL,Belgium,0.18,0.179,0.175,0.168,0.162,0.159,0.16,0.158,0.157,0.129,0.134,0.137,0.131,0.109,0.105,0.103,0.102,0.101,0.1,0.096,0.092,0.09,0.085,0.075,0.068,0.063,0.06,0.057,0.053,0.048,0.048,0.048,0.044
BLZ,Belize,0.43949999999999995,0.43749999999999994,0.431,0.42500000000000004,0.542,0.535,0.528,0.526,0.527,0.514,0.508,0.506,0.494,0.51,0.495,0.486,0.47,0.446,0.44,0.424,0.407,0.41,0.385,0.401,0.413,0.428,0.44,0.463,0.466,0.46,0.472,0.455,0.454
BEN,Benin,0.699,0.696,0.687,0.682,0.673,0.665,0.655,0.652,0.651,0.658,0.655,0.657,0.668,0.658,0.652,0.649,0.647,0.627,0.628,0.635,0.636,0.651,0.653,0.653,0.656,0.663,0.665,0.665,0.658,0.652,0.65,0.644,0.649
BTN,Bhutan,0.6725,0.66875,0.6597500000000001,0.65275,0.6435000000000001,0.63425,0.6252500000000001,0.62225,0.622,0.619,0.617,0.612,0.603,0.597,0.5925,0.5935,0.5880000000000001,0.5795,0.5775,0.56,0.476,0.45,0.432,0.465,0.442,0.428,0.411,0.403,0.34,0.332,0.326,0.318,0.334
BOL,Bolivia (Plurinational State of),0.6459999999999999,0.6415,0.6325000000000001,0.6234999999999999,0.6140000000000001,0.6035,0.5955,0.5925,0.593,0.58,0.579,0.567,0.538,0.536,0.533,0.538,0.529,0.532,0.527,0.485,0.477,0.474,0.476,0.47,0.433,0.438,0.431,0.428,0.427,0.426,0.428,0.42,0.418
BIH,Bosnia and Herzegovina,0.6194999999999999,0.61425,0.60525,0.59425,0.5845,0.5727500000000001,0.56575,0.5627500000000001,0.5640000000000001,0.556,0.536,0.352,0.357,0.276,0.268,0.264,0.251,0.249,0.246,0.216,0.215,0.188,0.185,0.173,0.167,0.165,0.167,0.162,0.162,0.146,0.137,0.131,0.148
BWA,Botswana,0.593,0.587,0.578,0.565,0.555,0.542,0.536,0.533,0.535,0.532,0.493,0.493,0.485,0.486,0.51,0.51,0.511,0.51,0.51,0.515,0.502,0.523,0.531,0.49,0.493,0.501,0.473,0.449,0.484,0.458,0.488,0.486,0.483
BRA,Brazil,0.581,0.576,0.56,0.556,0.552,0.542,0.536,0.529,0.522,0.514,0.506,0.496,0.495,0.471,0.471,0.469,0.467,0.465,0.46,0.456,0.448,0.447,0.44,0.444,0.44,0.437,0.432,0.421,0.4,0.396,0.409,0.405,0.391
BRN,Brunei Darussalam,0.4715,0.4695,0.4585,0.4555,0.4555,0.448,0.43400000000000005,0.43300000000000005,0.4245,0.42800000000000005,0.4195,0.3855,0.3745,0.358,0.355,0.355,0.34900000000000003,0.34550000000000003,0.3435,0.34500000000000003,0.3385,0.3355,0.329,0.3285,0.3325,0.3275,0.308,0.281,0.283,0.285,0.285,0.283,0.279
BGR,Bulgaria,0.362,0.363,0.357,0.355,0.359,0.354,0.332,0.337,0.327,0.342,0.333,0.275,0.254,0.245,0.239,0.241,0.231,0.226,0.227,0.234,0.229,0.224,0.218,0.213,0.225,0.218,0.216,0.208,0.21,0.205,0.204,0.209,0.206
BFA,Burkina Faso,0.3338333333333333,0.33399999999999996,0.3288333333333333,0.43,0.433,0.428,0.40925,0.41250000000000003,0.474,0.67,0.661,0.651,0.64,0.633,0.626,0.626,0.634,0.624,0.611,0.605,0.602,0.599,0.595,0.596,0.594,0.612,0.608,0.597,0.595,0.594,0.627,0.627,0.577
BDI,Burundi,0.30566666666666664,0.305,0.30066666666666664,0.505,0.507,0.502,0.48650000000000004,0.488,0.621,0.65,0.609,0.605,0.602,0.591,0.587,0.556,0.552,0.547,0.539,0.541,0.535,0.532,0.528,0.524,0.519,0.511,0.508,0.505,0.506,0.499,0.501,0.501,0.499
CPV,Cabo Verde,0.27749999999999997,0.276,0.27249999999999996,0.5800000000000001,0.581,0.5760000000000001,0.56375,0.5635,0.6305000000000001,0.6435,0.6114999999999999,0.6085,0.603,0.5905,0.5854999999999999,0.5660000000000001,0.5595,0.5415000000000001,0.5325,0.5275000000000001,0.5245,0.5215000000000001,0.523,0.517,0.513,0.371,0.36,0.356,0.365,0.353,0.351,0.326,0.325
KHM,Cambodia,0.24933333333333335,0.247,0.24433333333333335,0.655,0.655,0.65,0.641,0.639,0.64,0.637,0.614,0.612,0.604,0.59,0.584,0.576,0.567,0.536,0.526,0.514,0.514,0.511,0.518,0.51,0.507,0.497,0.49,0.491,0.491,0.492,0.489,0.484,0.486
CMR,Cameroon,0.22116666666666668,0.218,0.21616666666666667,0.42000000000000004,0.42000000000000004,0.688,0.686,0.684,0.68,0.677,0.673,0.671,0.647,0.642,0.639,0.639,0.636,0.611,0.615,0.618,0.62,0.619,0.613,0.579,0.576,0.572,0.571,0.572,0.565,0.564,0.558,0.556,0.555
CAN,Canada,0.193,0.189,0.188,0.185,0.185,0.182,0.176,0.169,0.163,0.157,0.15,0.145,0.142,0.14,0.134,0.136,0.135,0.134,0.148,0.147,0.139,0.128,0.125,0.118,0.113,0.107,0.101,0.096,0.079,0.075,0.075,0.074,0.069
TCD,Chad,0.35,0.34750000000000003,0.34199999999999997,0.33899999999999997,0.33799999999999997,0.3325,0.3255,0.3195,0.3035,0.2985,0.2915,0.29000000000000004,0.28049999999999997,0.275,0.263,0.257,0.2585,0.2555,0.2595,0.252,0.245,0.2315,0.2265,0.2135,0.203,0.1975,0.1855,0.174,0.698,0.7,0.697,0.661,0.671
CHL,Chile,0.507,0.506,0.496,0.493,0.491,0.483,0.475,0.47,0.444,0.44,0.433,0.435,0.419,0.41,0.392,0.378,0.382,0.377,0.371,0.357,0.351,0.335,0.328,0.309,0.293,0.288,0.27,0.252,0.219,0.214,0.22,0.197,0.19
CHN,China,0.4797142857142857,0.4784285714285714,0.4662857142857143,0.4625714285714286,0.4594285714285714,0.454,0.4461428571428571,0.44071428571428567,0.287,0.289,0.274,0.285,0.281,0.268,0.275,0.274,0.269,0.264,0.263,0.258,0.247,0.25,0.244,0.235,0.229,0.223,0.214,0.205,0.19,0.187,0.19,0.185,0.186
COL,Colombia,0.45242857142857146,0.45085714285714285,0.43657142857142855,0.43214285714285716,0.4278571428571428,0.425,0.41728571428571426,0.4114285714285714,0.2803333333333333,0.282,0.31625000000000003,0.31575,0.501,0.489,0.487,0.487,0.491,0.492,0.481,0.474,0.452,0.452,0.45,0.448,0.421,0.417,0.415,0.418,0.409,0.408,0.417,0.416,0.392
COG,Congo,0.42514285714285716,0.42328571428571427,0.40685714285714286,0.4017142857142857,0.3962857142857143,0.396,0.38842857142857146,0.3821428571428571,0.27366666666666667,0.27499999999999997,0.35850000000000004,0.3465,0.456,0.44766666666666666,0.443,0.621,0.619,0.618,0.614,0.614,0.618,0.622,0.631,0.623,0.616,0.612,0.61,0.603,0.604,0.589,0.584,0.583,0.572
COD,Congo (Democratic Republic of the),0.39785714285714285,0.3957142857142857,0.3771428571428571,0.37128571428571433,0.3647142857142857,0.367,0.35957142857142854,0.35285714285714287,0.267,0.268,0.40075,0.37725,0.411,0.4063333333333333,0.39899999999999997,0.651,0.665,0.663,0.662,0.661,0.66,0.659,0.656,0.653,0.641,0.645,0.641,0.641,0.638,0.618,0.608,0.608,0.605
CRI,Costa Rica,0.37057142857142855,0.3681428571428571,0.3474285714285714,0.34085714285714286,0.33314285714285713,0.338,0.33071428571428574,0.32357142857142857,0.2603333333333333,0.261,0.443,0.408,0.366,0.365,0.355,0.343,0.333,0.334,0.331,0.324,0.318,0.307,0.301,0.295,0.302,0.28,0.277,0.277,0.252,0.239,0.241,0.238,0.232
CIV,Côte d'Ivoire,0.3432857142857143,0.3405714285714286,0.3177142857142857,0.31042857142857144,0.3015714285714286,0.30900000000000005,0.3018571428571429,0.29428571428571426,0.25366666666666665,0.254,0.3165,0.302,0.27749999999999997,0.27549999999999997,0.2565,0.2505,0.2435,0.2455,0.2435,0.23299999999999998,0.639,0.627,0.628,0.625,0.627,0.637,0.65,0.645,0.64,0.623,0.62,0.613,0.612
HRV,Croatia,0.316,0.313,0.288,0.28,0.27,0.28,0.273,0.265,0.247,0.247,0.19,0.196,0.189,0.186,0.158,0.158,0.154,0.157,0.156,0.142,0.136,0.133,0.127,0.121,0.118,0.142,0.155,0.128,0.124,0.119,0.095,0.092,0.087
CUB,Cuba,0.376,0.3685,0.356,0.3405,0.3325,0.3275,0.316,0.2995,0.29000000000000004,0.28400000000000003,0.2445,0.222,0.219,0.212,0.333,0.332,0.331,0.333,0.329,0.331,0.333,0.332,0.322,0.313,0.31,0.307,0.308,0.31,0.306,0.307,0.305,0.3,0.3
CYP,Cyprus,0.436,0.424,0.424,0.401,0.395,0.375,0.359,0.334,0.333,0.321,0.299,0.248,0.249,0.238,0.217,0.196,0.205,0.182,0.188,0.201,0.191,0.208,0.212,0.212,0.202,0.209,0.194,0.211,0.23,0.235,0.235,0.254,0.253
CZE,Czechia,0.283,0.285,0.285,0.285,0.253,0.237,0.214,0.205,0.197,0.188,0.177,0.165,0.164,0.154,0.153,0.152,0.151,0.156,0.154,0.156,0.139,0.138,0.142,0.145,0.146,0.139,0.138,0.133,0.129,0.124,0.125,0.119,0.113
DNK,Denmark,0.1,0.097,0.098,0.095,0.095,0.095,0.087,0.089,0.079,0.077,0.075,0.071,0.062,0.057,0.055,0.055,0.056,0.054,0.056,0.051,0.049,0.044,0.042,0.039,0.035,0.035,0.034,0.027,0.022,0.016,0.013,0.013,0.009
DOM,Dominican Republic,0.573,0.572,0.565,0.613,0.565,0.563,0.561,0.554,0.533,0.521,0.507,0.497,0.467,0.494,0.498,0.498,0.489,0.495,0.493,0.498,0.488,0.486,0.481,0.479,0.479,0.475,0.463,0.46,0.46,0.448,0.441,0.434,0.433
ECU,Ecuador,0.646,0.637,0.624,0.612,0.604,0.597,0.591,0.589,0.499,0.501,0.511,0.497,0.493,0.486,0.478,0.477,0.452,0.451,0.451,0.438,0.431,0.428,0.424,0.408,0.396,0.391,0.386,0.388,0.39,0.387,0.375,0.372,0.371
EGY,Egypt,0.653,0.659,0.654,0.651,0.644,0.641,0.674,0.656,0.636,0.634,0.625,0.613,0.618,0.589,0.574,0.575,0.576,0.561,0.56,0.549,0.547,0.541,0.561,0.552,0.541,0.534,0.401,0.392,0.409,0.418,0.398,0.391,0.389
SLV,El Salvador,0.536,0.532,0.545,0.539,0.529,0.525,0.518,0.503,0.485,0.471,0.494,0.488,0.467,0.454,0.447,0.444,0.412,0.416,0.406,0.398,0.396,0.397,0.38,0.38,0.382,0.379,0.37,0.371,0.369,0.358,0.359,0.371,0.369
EST,Estonia,0.389,0.382,0.383,0.37,0.372,0.357,0.346,0.327,0.326,0.28,0.269,0.254,0.243,0.229,0.212,0.2,0.192,0.196,0.185,0.172,0.159,0.161,0.154,0.154,0.156,0.13,0.12,0.106,0.103,0.092,0.095,0.099,0.093
SWZ,Eswatini (Kingdom of),0.318,0.312,0.31174999999999997,0.30074999999999996,0.30174999999999996,0.3993333333333333,0.3903333333333333,0.376,0.37433333333333335,0.323,0.31566666666666665,0.478,0.4705,0.45899999999999996,0.4495,0.42000000000000004,0.4115,0.41100000000000003,0.40249999999999997,0.39249999999999996,0.379,0.37849999999999995,0.36849999999999994,0.362,0.359,0.543,0.528,0.517,0.52,0.521,0.501,0.499,0.491
ETH,Ethiopia,0.247,0.242,0.2405,0.23149999999999998,0.23149999999999998,0.44166666666666665,0.43466666666666665,0.425,0.42266666666666663,0.366,0.36233333333333334,0.702,0.698,0.689,0.687,0.64,0.631,0.626,0.62,0.613,0.599,0.596,0.583,0.57,0.562,0.531,0.521,0.517,0.51,0.506,0.499,0.495,0.494
FJI,Fiji,0.176,0.172,0.16924999999999998,0.16224999999999998,0.16124999999999998,0.484,0.479,0.474,0.471,0.409,0.409,0.405,0.407,0.409,0.437,0.434,0.427,0.422,0.415,0.41,0.405,0.397,0.399,0.402,0.369,0.354,0.354,0.348,0.334,0.337,0.336,0.329,0.332
FIN,Finland,0.105,0.102,0.098,0.093,0.091,0.093,0.099,0.089,0.088,0.084,0.088,0.09,0.094,0.09,0.088,0.085,0.079,0.072,0.071,0.071,0.071,0.066,0.064,0.062,0.061,0.054,0.048,0.042,0.037,0.031,0.032,0.033,0.032
FRA,France,0.235,0.237,0.233,0.227,0.215,0.208,0.2,0.193,0.19,0.191,0.195,0.184,0.175,0.171,0.159,0.157,0.156,0.137,0.133,0.129,0.129,0.126,0.111,0.107,0.103,0.097,0.092,0.073,0.078,0.086,0.084,0.083,0.084
GAB,Gabon,0.22199999999999998,0.22075,0.21525,0.598,0.592,0.587,0.584,0.58,0.577,0.57,0.546,0.548,0.544,0.539,0.535,0.542,0.536,0.529,0.524,0.523,0.52,0.526,0.52,0.525,0.534,0.532,0.532,0.528,0.531,0.527,0.532,0.523,0.524
GMB,Gambia,0.209,0.2045,0.1975,0.44933333333333336,0.44266666666666665,0.43799999999999994,0.43599999999999994,0.43299999999999994,0.42999999999999994,0.42233333333333334,0.48650000000000004,0.47450000000000003,0.47350000000000003,0.47050000000000003,0.467,0.47200000000000003,0.467,0.4635,0.478,0.48750000000000004,0.66,0.656,0.65,0.647,0.625,0.619,0.61,0.598,0.596,0.587,0.589,0.587,0.585
GEO,Georgia,0.196,0.18824999999999997,0.17975000000000002,0.3006666666666667,0.29333333333333333,0.289,0.288,0.286,0.283,0.27466666666666667,0.427,0.401,0.403,0.402,0.399,0.402,0.398,0.398,0.432,0.452,0.432,0.425,0.377,0.372,0.362,0.362,0.323,0.306,0.303,0.3,0.277,0.287,0.283
DEU,Germany,0.183,0.172,0.162,0.152,0.144,0.14,0.14,0.139,0.136,0.127,0.133,0.141,0.121,0.114,0.107,0.108,0.105,0.105,0.103,0.098,0.096,0.09,0.087,0.078,0.078,0.078,0.085,0.087,0.083,0.079,0.078,0.074,0.071
