Country Code,Country Name,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AFG,Afghanistan,9.545,15.455,15.455,15.455,15.455,15.455,15.455,15.0,27.309,27.309,27.686,27.686,27.309,27.711,27.711,27.711,27.711,27.711,27.711,27.711,27.711,30.455,27.869,27.016,27.016,33.636,33.636
AGO,Angola,9.545,15.455,15.455,15.455,15.455,15.455,15.455,15.0,15.0,15.0,15.0,37.273,38.636,38.636,38.182,34.091,34.091,36.818,36.818,36.818,30.455,30.455,30.0,30.0,29.545,33.636,33.636
ALB,Albania,8.344,11.299,5.161,5.161,5.714,5.714,5.714,6.429,7.143,7.143,7.143,7.143,16.429,16.429,15.714,15.714,17.857,20.0,20.714,22.857,27.857,27.857,29.508,29.508,35.714,35.714,35.714
AND,Andorra,7.143,7.143,7.143,7.143,14.286,14.286,14.286,14.286,28.571,28.571,28.571,25.0,35.714,35.714,50.0,50.0,50.0,50.0,39.286,32.143,32.143,32.143,46.429,46.429,46.429,46.429,50.0
ARE,United Arab Emirates,17.3845,17.3845,4.33475,16.801,7.90625,22.512500000000003,22.512500000000003,24.005499999999998,32.379,5.0,22.5,22.5,22.5,22.5,17.5,17.5,17.5,17.5,22.5,22.5,22.5,22.5,50.0,50.0,50.0,50.0,50.0
ARG,Argentina,27.626,27.626,1.5265,26.459,1.5265,30.739,30.739,33.725,36.187,35.019,40.0,40.0,38.521,38.521,37.354,37.354,36.576,36.576,16.5935,35.798,38.132,38.911,40.157,40.856,44.747,44.747,43.191
ARM,Armenia,6.316,6.316,3.053,3.053,3.053,3.053,4.58,5.344,5.344,5.344,9.16,8.397,9.16,9.16,8.397,10.687,10.687,10.687,10.687,10.687,18.095,18.095,23.485,23.485,33.645,35.514,35.514
AUS,Australia,15.541,15.541,22.449,22.973,14.9145,25.333,25.333,24.667,24.667,24.667,26.667,26.667,27.333,24.667,24.667,24.667,26.0,26.0,26.667,28.667,28.667,28.667,30.464,30.464,31.126,38.411,38.411
AUT,Austria,26.23,26.23,17.2245,26.776,26.776,17.9085,33.88,33.88,33.88,32.24,32.787,27.322,27.869,27.869,27.869,27.869,33.333,32.24,30.601,30.601,34.426,34.426,39.344,39.344,40.437,40.984,40.984
AZE,Azerbaijan,12.0,12.0,12.0,20.5915,10.484,10.484,10.484,10.484,13.043,11.29,11.382,11.382,11.382,16.0,16.0,16.0,15.574,15.574,16.935,16.8,16.8,16.8,16.807,17.355,18.182,18.333,18.644
BDI,Burundi,12.3335,11.864,5.983,14.407,14.407,18.436,18.436,18.436,30.508,30.508,30.508,30.508,31.356,32.075,30.476,30.476,30.476,30.476,36.364,36.364,36.364,36.364,36.364,38.211,38.211,38.211,38.211
BEL,Belgium,12.667,12.667,23.333,23.333,23.333,23.333,35.333,34.667,34.667,34.667,35.333,35.333,38.0,39.333,38.0,38.0,38.0,39.333,39.333,39.333,38.0,38.0,42.0,41.333,42.0,42.667,42.667
BEN,Benin,7.229,7.229,6.024,6.024,6.024,6.024,6.024,7.229,7.229,7.229,10.843,10.843,10.843,10.843,8.434,8.434,8.434,8.434,7.229,7.229,7.229,7.229,7.229,7.229,8.434,7.407,26.606
BFA,Burkina Faso,9.009,8.108,8.108,8.108,8.108,11.712,11.712,11.712,11.712,11.712,15.315,15.315,15.315,15.315,15.315,15.748,15.748,14.131,9.449,9.449,11.024,11.024,13.386,6.299,6.299,16.901,16.901
BGD,Bangladesh,9.091,9.091,9.091,9.091,17.179000000000002,2.0,2.0,2.0,14.783,15.072,18.491,6.333,18.551,18.551,19.714,19.714,19.714,19.828,20.0,20.0,20.286,20.286,20.63,20.917,20.857,20.857,20.857
BGR,Bulgaria,10.833,10.833,10.833,10.833,26.25,26.25,26.25,26.25,22.083,22.083,21.667,21.667,20.833,20.833,20.833,22.917,24.583,20.0,20.417,20.417,23.75,23.75,25.833,26.667,23.75,24.167,24.167
BHR,Bahrain,12.9165,12.9165,12.9165,12.9165,20.625,22.26475,23.125,23.125,21.0415,2.5,2.5,2.5,2.5,2.5,10.0,10.0,10.0,7.5,7.5,7.5,7.5,15.0,15.0,15.0,15.0,20.0,20.0
BHS,"Bahamas, The",15.0,15.0,15.0,15.0,15.0,18.2795,20.0,20.0,20.0,20.0,12.195,12.195,12.195,12.195,12.195,13.158,13.158,13.158,13.158,13.158,12.821,12.821,12.821,12.821,17.949,17.949,17.949
BIH,Bosnia and Herzegovina,11.149333333333333,11.149333333333333,12.299,12.299,7.143,14.29425,16.667,16.667,16.667,14.286,11.905,11.905,19.048,16.667,21.429,21.429,21.429,21.429,21.429,21.429,21.429,21.429,21.429,26.19,26.19,16.667,19.048
BLR,Belarus,7.298666666666667,7.298666666666667,9.597999999999999,9.597999999999999,10.309,10.309,10.309,29.358,29.091,29.091,29.091,31.818,31.818,31.818,31.818,26.606,26.606,26.606,27.273,34.545,34.545,34.545,40.0,40.0,40.0,40.0,40.0
BLZ,Belize,3.448,3.448,6.897,6.897,6.897,6.897,3.333,6.667,6.667,6.667,3.333,24.3705,27.063000000000002,28.6015,28.6015,3.125,3.125,3.125,3.125,3.125,9.375,9.375,9.375,9.677,12.5,12.5,15.625
BOL,Bolivia,5.038,5.038,11.538,11.538,11.538,18.462,18.462,19.231,16.923,16.923,16.923,16.923,22.308,25.385,25.385,25.385,25.385,53.077,53.077,53.077,53.077,53.077,53.077,46.154,46.154,46.154,46.154
BRA,Brazil,6.628,6.628,5.653,5.653,6.823,6.238,8.577,8.577,8.577,8.772,8.967,8.967,8.772,8.577,8.577,8.577,8.577,9.942,9.942,9.942,10.721,15.01,15.01,14.62,15.205,17.739,17.544
BRB,Barbados,10.714,10.714,10.714,10.714,10.714,10.714,13.333,13.333,13.333,13.333,13.333,10.0,10.0,10.0,10.0,10.0,16.667,16.667,16.667,16.667,16.667,20.0,20.0,20.0,20.0,26.667,26.667
BRN,Brunei Darussalam,6.357,6.357,6.357,10.0235,10.0235,10.0235,11.333,11.272,11.333,8.0,8.0,9.2555,9.2555,9.2555,9.2555,9.2555,11.525,12.589,12.589,6.452,9.091,9.091,9.091,9.091,9.091,9.091,11.765
BTN,Bhutan,2.0,2.0,2.0,9.333,9.333,9.333,9.333,9.211,9.333,2.667,2.667,8.511,8.511,8.511,8.511,8.511,6.383,8.511,8.511,8.511,8.511,14.894,14.894,14.894,17.021,17.391,17.391
BWA,Botswana,8.511,8.511,4.6695,17.021,17.021,17.021,17.021,11.111,11.111,11.111,11.111,11.111,7.937,7.937,7.937,7.937,7.937,9.524,9.524,9.524,9.524,9.524,10.769,10.769,10.769,11.111,11.111
CAF,Central African Republic,3.529,3.529,7.339,7.339,7.339,7.339,18.8095,16.1075,10.476,10.476,10.476,10.476,9.615,9.615,12.5,12.5,16.306,17.3025,17.78,7.194,8.571,8.571,8.571,8.571,12.857,12.857,12.857
